Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-26,5,5,0,0
2020-01-27,1,6,0,0
2020-01-28,1,7,0,0
2020-01-29,0,7,0,0
2020-01-30,0,7,0,0
2020-01-31,1,8,0,0
2020-02-01,0,8,0,0
2020-02-02,0,8,0,0
2020-02-03,0,8,0,0
2020-02-04,0,8,0,0
2020-02-05,1,9,0,0
2020-02-06,0,9,0,0
2020-02-07,2,11,0,0
2020-02-08,0,11,0,0
2020-02-09,0,11,0,0
2020-02-10,0,11,0,0
2020-02-11,0,11,0,0
2020-02-12,0,11,0,0
2020-02-13,0,11,0,0
2020-02-14,0,11,0,0
2020-02-15,0,11,0,0
2020-02-16,0,11,0,0
2020-02-17,1,12,0,0
2020-02-18,0,12,0,0
2020-02-19,0,12,0,0
2020-02-20,0,12,0,0
2020-02-21,0,12,0,0
2020-02-22,1,13,0,0
2020-02-23,0,13,0,0
2020-02-24,1,14,0,0
2020-02-25,0,14,0,0
2020-02-26,1,15,0,0
2020-02-27,0,15,0,0
2020-02-28,3,18,0,0
2020-02-29,0,18,0,0
2020-03-01,5,23,0,0
2020-03-02,8,31,0,0
2020-03-03,3,34,0,0
2020-03-04,0,34,0,0
2020-03-05,15,49,0,0
2020-03-06,4,53,0,0
2020-03-07,8,61,0,0
2020-03-08,3,64,0,0
2020-03-09,12,76,0,0
2020-03-10,5,81,0,0
2020-03-11,16,97,1,1
2020-03-12,0,97,0,1
2020-03-13,59,156,0,1
2020-03-14,24,180,0,1
2020-03-15,128,308,0,1
2020-03-16,0,308,0,1
2020-03-17,120,428,0,1
2020-03-18,145,573,8,9
2020-03-19,163,736,0,9
2020-03-20,110,846,0,9
2020-03-21,202,1048,4,13
2020-03-22,0,1048,0,13
2020-03-23,336,1384,6,19
2020-03-24,355,1739,6,25
2020-03-25,0,1739,0,25
2020-03-26,1816,3555,10,35
2020-03-27,0,3555,0,35
2020-03-28,463,4018,4,39
2020-03-29,739,4757,16,55
2020-03-30,898,5655,6,61
2020-03-31,662,6317,5,66
2020-04-01,1378,7695,23,89
2020-04-02,1310,9005,16,105
