Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-30,5,5,0,0
2020-01-31,0,5,0,0
2020-02-01,1,6,0,0
2020-02-02,0,6,1,1
2020-02-03,0,6,0,1
2020-02-04,1,7,0,1
2020-02-05,0,7,0,1
2020-02-06,0,7,0,1
2020-02-07,0,7,0,1
2020-02-08,0,7,0,1
2020-02-09,0,7,0,1
2020-02-10,0,7,0,1
2020-02-11,0,7,0,1
2020-02-12,0,7,0,1
2020-02-13,0,7,0,1
2020-02-14,0,7,0,1
2020-02-15,0,7,0,1
2020-02-16,0,7,0,1
2020-02-17,0,7,0,1
2020-02-18,0,7,0,1
2020-02-19,0,7,0,1
2020-02-20,0,7,0,1
2020-02-21,0,7,0,1
2020-02-22,0,7,0,1
2020-02-23,0,7,0,1
2020-02-24,0,7,0,1
2020-02-25,0,7,0,1
2020-02-26,0,7,0,1
2020-02-27,0,7,0,1
2020-02-28,0,7,0,1
2020-02-29,0,7,0,1
2020-03-01,0,7,0,1
2020-03-02,0,7,0,1
2020-03-03,0,7,0,1
2020-03-04,0,7,0,1
2020-03-05,0,7,0,1
2020-03-06,2,9,0,1
2020-03-07,1,10,0,1
2020-03-08,4,14,0,1
2020-03-09,14,28,0,1
2020-03-10,9,37,0,1
2020-03-11,16,53,0,1
2020-03-12,3,56,1,2
2020-03-13,0,56,0,2
2020-03-14,12,68,0,2
2020-03-15,76,144,10,12
2020-03-16,2,146,0,12
2020-03-17,45,191,0,12
2020-03-18,0,191,2,14
2020-03-19,26,217,3,17
2020-03-20,13,230,1,18
2020-03-21,77,307,1,19
2020-03-22,73,380,6,25
2020-03-23,16,396,8,33
2020-03-24,66,462,0,33
2020-03-25,174,636,5,38
2020-03-26,71,707,7,45
2020-03-27,0,707,0,45
2020-03-28,368,1075,23,68
2020-03-29,0,1075,0,68
2020-03-30,471,1546,10,78
2020-03-31,0,1546,0,78
2020-04-01,765,2311,18,96
2020-04-02,0,2311,0,96
2020-04-03,322,2633,11,107
2020-04-04,385,3018,29,136
2020-04-05,76,3094,8,144
2020-04-06,152,3246,8,152
2020-04-07,414,3660,11,163
2020-04-08,210,3870,19,182
2020-04-09,206,4076,21,203
2020-04-10,0,4076,0,203
2020-04-11,352,4428,44,247
2020-04-12,220,4648,50,297
2020-04-13,284,4932,18,315
2020-04-14,291,5223,20,335
2020-04-15,0,5223,0,335
2020-04-16,437,5660,27,362
2020-04-17,0,5660,0,362
2020-04-18,218,5878,25,387
2020-04-19,209,6087,10,397
2020-04-20,172,6259,12,409
2020-04-21,200,6459,19,428
2020-04-22,140,6599,9,437
2020-04-23,111,6710,9,446
2020-04-24,271,6981,16,462
2020-04-25,211,7192,15,477
2020-04-26,102,7294,17,494
2020-04-27,285,7579,7,501
2020-04-28,198,7777,10,511
2020-04-29,181,7958,19,530
2020-04-30,254,8212,28,558
2020-05-01,276,8488,10,568
